"Network","Domain","Path","Name","Value","Last Checked","Information Page","Notes"
"Fox Audience Network",".opt.fimserve.com","/","LO",,"0000-00-00 00:00:00",,
"Fox Audience Network",".opt.fimserve.com","/","UI","|","0000-00-00 00:00:00",,
"Freewheel",".fwmrm.net","/","opt_out","true","0000-00-00 00:00:00",,
"Google/Doubleclick",".doubleclick.net","/","id","OPT_OUT","0000-00-00 00:00:00",,
"Hurra",".hurra.com","/","__coo",1,"0000-00-00 00:00:00",,
"InterCLICK",".a1.interclick.com","/","Opt","out","0000-00-00 00:00:00",,
"Lotame  / crwdcntrl.net",".crwdcntrl.net","/","cc","optout","0000-00-00 00:00:00",,
"Media 6 Degrees",".media6degrees.com","/","orboptout","2-1","0000-00-00 00:00:00",,
"Media Math",".action.mathtag.com","/","optout",1,"0000-00-00 00:00:00",,
"Media Plex (Valueclick)",".mediaplex.com","/","svid","OPT-OUT","0000-00-00 00:00:00",,
"MediaMath",".mathtag.com","/","optout",1,"0000-00-00 00:00:00",,
"Microsoft / Live.com",".live.com","/","TOptOut",1,"0000-00-00 00:00:00",,
"Microsoft Advertising",".bing.com","/","TOptOut",1,"0000-00-00 00:00:00",,
"Microsoft Advertising",".msn.com","/","TOptOut",1,"0000-00-00 00:00:00",,
"Mindset Media / mmismm.com",".mmismm.com","/","G",-1,"0000-00-00 00:00:00",,
"Navegg",".navegg.com","/","ltcid","deleted","0000-00-00 00:00:00",,
"NetMining",".netmng.com","/","EVO5_OPT","%BC%9F%A5%AF%05%98","0000-00-00 00:00:00",,
"NextAction",".nexac.com","/","na_tc","Y","0000-00-00 00:00:00",,
"NextAction",".nexac.com","/","na_id","ignore","0000-00-00 00:00:00",,
"NexTag",".nextag.com","/","ntad","opt-out","0000-00-00 00:00:00",,
"Nielsen / imrworldwide.com",".imrworldwide.com","/","OPT_OUT","TOTAL","0000-00-00 00:00:00",,
"Nugg.ad",".nuggad.net","/","nuggstopp","true","0000-00-00 00:00:00",,
"Omniture / 2o7.net",".2o7.net","/","omniture_optout",1,"0000-00-00 00:00:00",,
"OpenX",".openx.net","/","i","OPT+OUT","0000-00-00 00:00:00",,
"Opinmind",".yieldoptimizer.com","/","om_optout",1,"0000-00-00 00:00:00",,
"Opinmind","optout.yieldoptimizer.com","/","opinmind_persist","488444680.36895.0000","0000-00-00 00:00:00",,
"Outbrain",".outbrain.com","/","optout",,"0000-00-00 00:00:00",,
"Permuto",".pulsemgr.com","/","p","OPTOUT","0000-00-00 00:00:00",,
"Pointroll",".ads.pointroll.com","/","PRID","CONTENT","0000-00-00 00:00:00",,
"PrecisionClick",".precisionclick.com","/","optout",1,"0000-00-00 00:00:00",,
"PrecisionClick",".precisionclick.com","/","optoutad",1,"0000-00-00 00:00:00",,
"Pulse 360",".kanoodle.com","/","kanoodle-opt-out",1,"0000-00-00 00:00:00",,
"Quantcast",".quantserve.com","/","qoo","OPT_OUT","0000-00-00 00:00:00",,
"Quigo",".adsonar.com","/","oo_flag","t","0000-00-00 00:00:00",,
"RapLeaf",".rlcdn.com","/","optout","Opted Out of RapLeaf Cookies, to re-enable simply delete this cookie.","2010-08-24 16:45:00","New cookie on 2010-08-24, thanks to Rob at Abine",
"richrelevance","recs.richrelevance.com","/","prooc","true","0000-00-00 00:00:00",,
